tool_name,official_url,description,fact_1,fact_1_citation,fact_2,fact_2_citation
Figma,https://www.figma.com/,"Figma markets AI features for product design and prototyping.","Figma says users can prompt to code with AI in Figma Make.",https://www.figma.com/,"Figma First Draft can transform ideas into editable wireframes or designs.",https://help.figma.com/hc/en-us/articles/23955143044247-Use-First-Draft-with-Figma-AI
Uizard,https://uizard.io/,"Uizard markets itself as AI-powered UI design software for product teams.","Uizard describes its UI design as powered by AI.",https://uizard.io/ui-design/,"Uizard Autodesigner generates multi-screen mockups from text prompts.",https://uizard.io/ai-design/
Framer,https://www.framer.com/,"Framer includes AI-assisted website design features relevant to UI design workflows.","Framer says AI can generate site layouts and advanced components in seconds.",https://www.framer.com/,"Framer positions itself as a no-code site builder used by designers.",https://www.framer.com/
Visily,https://www.visily.ai/,"Visily is an AI UI design tool for app and website interfaces.","Visily says it can generate UI designs from text prompts.",https://www.visily.ai/ai-ui-design/,"Visily says it can turn screenshots and sketches into editable designs.",https://www.visily.ai/ai-ui-design/
Relume,https://www.relume.io/,"Relume markets AI-assisted website planning and wireframing for design workflows.","Relume says it generates sitemaps, wireframes, and style guides with AI.",https://www.relume.io/,"Relume says generated components can be exported to Figma, Webflow, or React.",https://www.relume.io/
Miro,https://miro.com/,"Miro offers AI features for UX and UI design collaboration.","Miro says its AI wireframe generator turns text descriptions into editable wireframes.",https://miro.com/ai/wireframe/,"Miro says its AI UI design tools can generate components and complete app screens.",https://miro.com/ai/ui-design/
Maze,https://maze.co/,"Maze markets AI-powered product research capabilities.","Maze describes its offering as AI-powered product research.",https://maze.co/ai/,"Maze states it uses OpenAI for text and Rev AI for voice in AI features.",https://maze.co/ai/
Dovetail,https://dovetail.com/,"Dovetail markets AI features for customer and UX research workflows.","Dovetail says its AI centralizes and analyzes customer data.",https://dovetail.com/role/researcher/,"Dovetail announced AI Agents and AI Docs capabilities.",https://dovetail.com/blog/the-ai-first-future-of-product-development/
UX Pilot,https://uxpilot.ai/,"UX Pilot markets an AI UI generator for rapid interface design.","UX Pilot says its AI generates UI designs and screen flows from prompts.",https://uxpilot.ai/uizard-ai,"UX Pilot says users can transfer outputs to Figma and export production-ready code.",https://uxpilot.ai/uizard-ai
Builder.io Visual Copilot,https://www.builder.io/figma-to-code,"Builder.io markets AI-powered Figma-to-code conversion for UI implementation.","Builder.io labels Visual Copilot as AI-powered Figma to code.",https://www.builder.io/figma-to-code,"Builder.io says it outputs code for frameworks including React, Qwik, Angular, Kotlin, and Flutter.",https://www.builder.io/figma-to-code
Locofy,https://www.locofy.ai/,"Locofy markets AI-assisted design-to-code tooling.","Locofy describes itself as an AI-powered design-to-code tool.",https://www.locofy.ai/convert/design-to-code,"Locofy says it uses in-house Large Design Models for Figma-to-React conversion.",https://www.locofy.ai/convert/figma-to-react
v0 by Vercel,https://v0.dev/,"v0 markets AI-based generation of apps and websites from prompts.","v0 says users can generate working applications in minutes with AI.",https://v0.dev/,"v0 Model API supports text and image inputs and is labeled multimodal.",https://v0.dev/docs/v0-model-api
Dora AI,https://www.dora.run/ai,"Dora AI markets prompt-based website generation.","Dora AI says it generates sites from prompts and provides an end-to-end AI pipeline.",https://www.dora.run/ai,"Dora AI says sites are generated from copy to composition without predefined templates.",https://www.dora.run/ai
Lunacy,https://icons8.com/design/,"Lunacy includes AI capabilities in a UI/UX design tool.","Lunacy pages describe AI-powered capabilities for UI/UX work.",https://icons8.com/design/ui-design-tools,"Lunacy is presented as a UI/UX design tool with built-in graphic assets and AI tools.",https://icons8.com/design/software-ui-ux-design
Hotjar,https://www.hotjar.com/,"Hotjar includes AI-assisted capabilities relevant to UX research and feedback analysis.","Hotjar documentation lists AI survey creation, AI survey summaries, and survey sentiment analysis.",https://help.hotjar.com/hc/en-us/articles/36820019634961-What-is-Hotjar,"Hotjar describes itself as a product experience insights platform for behavior analytics and feedback.",https://help.hotjar.com/hc/en-us/articles/36820019634961-What-is-Hotjar
UserTesting,https://www.usertesting.com/,"UserTesting markets AI-powered experience research capabilities.","UserTesting AI is described as AI-powered support for recruitment, test planning, feedback collection, and analysis.",https://www.usertesting.com/platform/AI,"UserTesting states AI Insight Summary is GPT-powered.",https://www.usertesting.com/company/newsroom/press-releases/usertesting-advances-experience-research-general-availability-its
Looppanel,https://www.looppanel.com/,"Looppanel positions itself as AI-assisted UX research analysis and repository software.","Looppanel says its purpose-built AI reduces manual tagging and accelerates analysis.",https://www.looppanel.com/,"Looppanel says it provides a research repository to find answers across customer research sources.",https://www.looppanel.com/
Marvin,https://heymarvin.com/,"Marvin markets AI assistance for research synthesis.","Marvin Ask AI is described as giving instant data-backed answers from research.",https://heymarvin.com/product/ask-ai,"Marvin says users can search, analyze, and synthesize research data with Marvin AI.",https://heymarvin.com/product/ask-ai
Notably,https://www.notably.ai/,"Notably markets AI-powered qualitative research synthesis.","Notably says it helps teams turn qualitative data into insights with AI.",https://www.notably.ai/,"Notably describes its repository feature as an AI-powered research repository.",https://www.notably.ai/features/research-repository
Attention Insight,https://attentioninsight.com/,"Attention Insight markets AI-based pre-launch design analytics.","Attention Insight describes itself as an AI-powered analytics tool that generates attention metrics and heatmaps.",https://attentioninsight.com/,"Attention Insight says it uses deep learning algorithms to simulate human vision.",https://attentioninsight.com/api/
Lyssna,https://www.lyssna.com/,"Lyssna combines UX research workflows with AI-assisted synthesis features.","Lyssna analysis features include AI-powered summaries.",https://www.lyssna.com/features/analysis/,"Lyssna describes itself as a remote user research platform for moderated and unmoderated studies.",https://help.lyssna.com/en/articles/4952926-lyssna-overview
Condens,https://condens.io/,"Condens markets AI features tailored for UX research analysis.","Condens describes Condens AI as purpose-built for UX research.",https://condens.io/ai/,"Condens says it provides AI-powered transcription and summarization capabilities.",https://condens.io/automated-transcription/
Great Question,https://greatquestion.co/,"Great Question includes AI features in its UX research platform.","Great Question homepage includes a 'Start free study with AI' callout.",https://greatquestion.co/,"Great Question help docs say Great Question AI supports synthesis, querying studies, and summaries.",https://greatquestion.co/support/repository/great-question-ai
Sprig,https://sprig.com/,"Sprig markets AI-native research tooling for UX teams.","Sprig homepage describes AI-native surveys and AI-powered study workflows.",https://sprig.com/,"Sprig AI Insights says AI clusters responses and surfaces patterns and pain points in real time.",https://sprig.com/ai-insights
Ballpark,https://ballparkhq.com/,"Ballpark markets AI-driven user research workflows.","Ballpark homepage states 'Research anything. Powered by AI.'",https://ballparkhq.com/,"Ballpark says its AI interviewer adapts in real time and asks smart follow-up questions.",https://ballparkhq.com/
